ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.01,1.2,Adrian Peterson,RB,MIN,674,5
1.03,2.8,Arian Foster,RB,HOU,558,8
1.03,3.2,Doug Martin,RB,TB,573,5
1.04,4.0,Jamaal Charles,RB,KC,660,10
1.05,5.5,Marshawn Lynch,RB,SEA,673,12
1.06,6.2,C.J. Spiller,RB,BUF,665,12
1.08,7.9,Calvin Johnson,WR,DET,683,9
1.08,8.0,Trent Richardson,RB,CLE,606,10
1.08,8.5,Ray Rice,RB,BAL,703,8
1.09,9.4,LeSean McCoy,RB,PHI,724,12
2.01,11.1,Alfred Morris,RB,WAS,690,5
2.03,13.3,Steven Jackson,RB,ATL,622,6
2.04,14.4,Matt Forte,RB,CHI,627,8
2.04,14.5,A.J. Green,WR,CIN,653,12
2.05,15.5,Dez Bryant,WR,DAL,645,11
2.08,17.5,Stevan Ridley,RB,NE,579,10
2.08,17.9,Brandon Marshall,WR,CHI,658,8
2.08,18.1,Chris Johnson,RB,TEN,602,8
2.10,19.6,Maurice Jones-Drew,RB,JAC,623,9
2.10,19.8,Julio Jones,WR,ATL,668,6
2.10,20.4,Jimmy Graham,TE,NO,640,7
3.02,21.8,Aaron Rodgers,QB,GB,582,4
3.03,22.9,Drew Brees,QB,NO,603,7
3.03,23.0,Reggie Bush,RB,DET,645,9
3.04,24.0,Demaryius Thomas,WR,DEN,682,9
3.06,26.1,Frank Gore,RB,SF,633,9
3.07,27.1,Larry Fitzgerald,WR,ARI,661,9
3.08,28.4,DeMarco Murray,RB,DAL,610,11
3.10,29.6,Randall Cobb,WR,GB,680,4
4.01,30.6,Lamar Miller,RB,MIA,624,6
4.01,31.4,Roddy White,WR,ATL,666,6
4.02,32.2,Darren McFadden,RB,OAK,595,7
4.02,32.3,Andre Johnson,WR,HOU,638,8
4.04,34.0,Peyton Manning,QB,DEN,566,9
4.05,34.6,Victor Cruz,WR,NYG,668,9
4.06,35.9,LeVeon Bell,RB,PIT,631,5
4.07,36.6,Vincent Jackson,WR,TB,650,5
4.08,37.9,David Wilson,RB,NYG,578,9
4.09,39.2,Darren Sproles,RB,NO,636,7
